|       | 0    | link                                      |
| UFPI  | HOLD | https://www.tradingview.com/symbols/UFPI  |
| ELF   | SELL | https://www.tradingview.com/symbols/ELF   |
| BDC   | HOLD | https://www.tradingview.com/symbols/BDC   |
| HUBS  | HOLD | https://www.tradingview.com/symbols/HUBS  |
| SHOP  | HOLD | https://www.tradingview.com/symbols/SHOP  |
| DVA   | HOLD | https://www.tradingview.com/symbols/DVA   |
| NOW   | HOLD | https://www.tradingview.com/symbols/NOW   |
| COMP  | HOLD | https://www.tradingview.com/symbols/COMP  |
| PFSI  | SELL | https://www.tradingview.com/symbols/PFSI  |
| WMS   | HOLD | https://www.tradingview.com/symbols/WMS   |
| HAYW  | HOLD | https://www.tradingview.com/symbols/HAYW  |
| SHC   | HOLD | https://www.tradingview.com/symbols/SHC   |
| EXPI  | HOLD | https://www.tradingview.com/symbols/EXPI  |
| FNF   | HOLD | https://www.tradingview.com/symbols/FNF   |
| PHG   | HOLD | https://www.tradingview.com/symbols/PHG   |
| CTKB  | HOLD | https://www.tradingview.com/symbols/CTKB  |
| MKSI  | HOLD | https://www.tradingview.com/symbols/MKSI  |
| MMI   | HOLD | https://www.tradingview.com/symbols/MMI   |
| ARCB  | HOLD | https://www.tradingview.com/symbols/ARCB  |
| DY    | HOLD | https://www.tradingview.com/symbols/DY    |
| ATI   | HOLD | https://www.tradingview.com/symbols/ATI   |
| SMCI  | HOLD | https://www.tradingview.com/symbols/SMCI  |
| QLYS  | HOLD | https://www.tradingview.com/symbols/QLYS  |
| WDAY  | HOLD | https://www.tradingview.com/symbols/WDAY  |
