,symbol,Industry,P/S
514,TPX,"Furnishings, Fixtures & Appliances",1.9259132
751,TSG,Gambling,0
245,IGT,Gambling,1.4135908
423,GFI,Gold,2.1052053
739,KGC,Gold,1.9271277
461,SBSW,Gold,0.09177707
758,AU,Gold,1.75123
410,BTG,Gold,2.6172395
372,IAG,Gold,1.1979296
761,GOLD,Gold,2.9329743
736,HMY,Gold,0.06828668
753,EGO,Gold,1.7827684
523,NEM,Gold,4.255918
416,AUY,Gold,2.5953245
392,HL,Gold,5.8340454
435,KR,Grocery Stores,0.21992609
208,SFM,Grocery Stores,0.5037498
567,GO,Grocery Stores,1.0516489
386,VEEV,Health Information Services,31.866827
445,CERN,Health Information Services,4.351676
302,MDRX,Health Information Services,1.6583253
647,ANTM,Healthcare Plans,0.72531724
466,CVS,Healthcare Plans,0.4040579
396,CNC,Healthcare Plans,0.38629153
781,HUM,Healthcare Plans,0.6925949
553,CI,Healthcare Plans,0.48714253
769,UNH,Healthcare Plans,1.3978688
205,LOW,Home Improvement Retail,1.4958785
531,HD,Home Improvement Retail,2.4628894
547,NTCO,Household & Personal Products,0.42381054
492,PG,Household & Personal Products,4.3173475
474,KMB,Household & Personal Products,2.3007379
734,NWL,Household & Personal Products,1.1294111
327,COTY,Household & Personal Products,1.5608324
510,EL,Household & Personal Products,7.2921376
680,CL,Household & Personal Products,4.0997972
345,FAST,Industrial Distribution,5.1131268
441,JKHY,Information Technology Services,7.2846675
357,INFY,Information Technology Services,6.2835846
15,DXC,Information Technology Services,0.50851506
563,FIS,Information Technology Services,7.128211
620,IT,Information Technology Services,4.942848
574,LDOS,Information Technology Services,1.1491653
350,XRX,Information Technology Services,0.654441
343,WIT,Information Technology Services,0.063234374
554,FISV,Information Technology Services,4.833379
759,FLT,Information Technology Services,9.071666
131,CNDT,Information Technology Services,0.37860647
106,CTSH,Information Technology Services,2.1672437
141,IBM,Information Technology Services,1.7332982
511,MMC,Insurance Brokers,3.868426
703,EQH,Insurance—Diversified,1.3138996
675,AIG,Insurance—Diversified,0.9316163
323,HIG,Insurance—Diversified,1.0430999
380,GNW,Insurance—Life,0.2293611
179,AFL,Insurance—Life,1.5488342
87,UNM,Insurance—Life,0.41932735
57,PRI,Insurance—Life,2.5090039
278,MET,Insurance—Life,0.7540931
33,PRU,Insurance—Life,0.67612255
628,TRV,Insurance—Property & Casualty,1.1240063
252,PGR,Insurance—Property & Casualty,1.2067908
483,ALL,Insurance—Property & Casualty,0.7837304
290,MTG,Insurance—Specialty,3.8192694
84,UPS,Integrated Freight & Logistics,1.9211384
612,FDX,Integrated Freight & Logistics,0.96133924
749,ZTO,Integrated Freight & Logistics,0.9724849
398,JBHT,Integrated Freight & Logistics,1.6516166
45,TWLO,Internet Content & Information,35.73281
195,MOMO,Internet Content & Information,0.20305417
588,GOOG,Internet Content & Information,8.467905
304,FB,Internet Content & Information,9.901989
186,TWTR,Internet Content & Information,12.311622
13,BIDU,Internet Content & Information,0.5747557
121,ANGI,Internet Content & Information,4.5256977
389,IQ,Internet Content & Information,0.38817012
336,SOGO,Internet Content & Information,4.0313115
552,ZG,Internet Content & Information,0
438,SNAP,Internet Content & Information,34.203278
447,MTCH,Internet Content & Information,17.388813
344,SPOT,Internet Content & Information,5.7768035
566,FVRR,Internet Content & Information,42.875042
30,YY,Internet Content & Information,0.40033814
669,TME,Internet Content & Information,0.87609786
573,NTES,Internet Content & Information,1.0015093
81,PINS,Internet Content & Information,25.351213
342,UXIN,Internet Content & Information,-3.4839582
21,ATHM,Internet Content & Information,0.87060845
68,WUBA,Internet Content & Information,0
580,GOOGL,Internet Content & Information,8.266433
41,WB,Internet Content & Information,6.4110146
