;0
VLO;11,00005048870561
WYNN;11,161851248609377
COTY;11,179180983402286
WUBA;11,230784273511903
FOLD;11,657712289310728
NUE;11,679756047881105
GRUB;11,689526509540316
URBN;11,692774605274492
HUN;11,79692027495859
BWA;11,824165854763434
STT;11,863889230466892
XOM;12,084575395897954
BEN;12,157007414489906
PSX;12,23511639871997
TSG;12,298770860220165
DNR;12,329520495748225
ASNA;12,334240065644861
DAN;12,418552864450911
NOAH;12,474982681489614
SCCO;12,515508226086713
SU;12,586156994342366
F;12,693932578223803
WPX;12,711491544377692
LB;12,863444693357476
CTSH;12,935533764464607
NLOK;13,073193731956591
MMM;13,509133302844456
NWL;13,669506393515828
HST;13,70261102204466
SOGO;13,817139637682365
TEVA;13,947825732976444
DBX;13,965844157566758
NWSA;14,27311380037636
IP;14,538507215958015
ET;14,593080819920281
NTNX;14,601756859900032
SPG;14,650598693892238
CTL;14,811538809115405
CLNY;15,050915403539138
SMFG;15,064628032897545
FSLR;15,180584093814312
BK;15,233262202082178
WIT;15,302956397161434
SCHW;15,472594172489659
WMB;15,49924695207795
ANGI;15,5293327277588
CDE;15,546543480450504
BITA;15,64584882706894
PBF;15,695807244871816
ABBV;15,779034822602497
HL;15,891580399116572
MOS;15,933987387749697
AXL;16,109285834138138
CLDR;16,131269359237077
AEO;16,2509197387492
HGV;16,3375077668972
KSS;16,3682002055314
CX;16,493064415630506
HRB;16,626884069145685
PBCT;16,692391736143847
ZION;16,765854439804958
MO;16,826276692217846
BKNG;16,90069919705925
APA;16,900977711697386
TRGP;16,974241748428128
MDRX;17,070877684969354
MUR;17,4840758890769
FCX;17,772778003970235
OPK;17,92142171278722
ANF;18,01232906916773
CVX;18,1884164100079
CHL;18,248256452285958
UGP;18,4722014104618
STZ;18,727121709573378
AMTD;18,807806094700254
VG;18,996157539995195
KOS;19,051921000294975
ATVI;19,338039084921334
HPE;19,451438312171124
RF;19,643902387651263
FHN;19,800014007744434
JWN;20,04812365422105
WBA;20,12024535202497
EA;20,127256992407137
TRXC;20,132840824197423
WAB;20,15205328260834
TCOM;20,800937405351966
LX;21,40493575801487
VIPS;21,529359281277383
NTAP;21,533409177400276
HCM;21,880962842075448
TRIP;21,89480043573407
HBI;22,290213435542718
HOG;22,358025464696354
NLY;22,536574154901114
EXEL;23,285858537316344
PSTG;23,406164319507948
LVS;23,58590237827985
WFC;23,632713348148105
BVN;23,957351998415685
GD;24,446692031551255
FITB;25,136549870532026
TELL;25,288571265236335
GPRO;25,513491129043416
CVE;26,28735539945162
ISBC;26,32539498895108
CAT;26,461321605132195
BAP;26,868908981549964
JNPR;27,122831832672322
ATHM;27,791349167187434
ALXN;28,08435359552571
WDC;28,120743994919973
S;28,503536622549756
COP;28,748729652253537
BDC;30,088277094086127
ZG;30,179215149352565
CAG;30,410696210724694
NRZ;31,624422594571442
NMR;32,43696926477187
ITUB;32,691911423827584
EBAY;32,9324437920333
VALE;33,23161724154831
HTZ;33,541080187220174
IRM;33,780357964639855
PRU;35,05865823290437
CFG;35,49347747340457
UPS;35,68411546801448
TGI;36,30627614655281
TAK;36,422433769165906
ON;36,4592493387217
